front flex
ulna press
judolock
reverse ulna
barex, 2 hands
barex, 1 hands
cross twist
handtwist
pivot yubi tori
reverse hadake
moro yubi tori
flex crank
arm straddle
club jitsu
bums rush, collar dragdown
bums rush, rear hadake
