      Blow, jodan juji uke,   right sakotsu, left elbow break, right hiji, hittsui,osoto gari
      Blow, jodan juji uke,   right tettsui,Left gedan ulna,Right ura tsuki,inside armtwist
      Blow, age uke,          Mae geri,sakotsu,ulna press,barflex
      Blow, age uke,          Mae geri,tettsui,osoto gari,Winglock
      Straight thrust,        Soto ude uke,elbow break,Right shotei,osoto guruma
      Blow, age uke,          Sakotsu,hittsui,osoto gari
      Thrust, parry,         Right yoko haitto,cross shuto,ulna press,barflex,rear otoshi,yubi tori
      Thrust , parry,         Armbreak,right kage,left kidney chop, kosoto gari, rear kneelingbar, barflex
      Thrust , parry,         Yoko shuto,kage tsuki to face, inside armtwist
      Thrust , parry,         Yoko haitto—ude tori—barflex—rear otoshi
      Thrust , parry,         Right haitto,right gohon nukite,rear hadake
      Thrust , parry,         Yoko shuto,right kage,osoto gari,Winglock
      Attack legs,            Left gedan barai, up elbow break, Left gohon, Right ganmen shuto
      Attack legs,            Left gedan barai, elbow break, left gohon, Right gedan haitto,chicken head strike under chin, left right gohon, kouchi gari
      Attack legs,            Left gedan barai,Right arm sakotsu,Right yoko geri, Left ushiro geri
      Blow, jodan juji uke,   Tettsui,double uras,ulna press,one—hand barflex,otoshi, fumi komi, yubi tori
      Blow, age uke,          Right hiji,ippon seoi,fumi komi,club yawara
      Blow, age uke,          Right tettsui,uras,hiji, bodyslam, ashi hishigi
      Blow, jodan juji uke,   Sakotsu,uras, gohon, lapel guruma, rolling heel kick
      Blow, jodan juji uke,   Tettsui,gohon, uras, hittsui, osoto gari
