      Right gedan barai,           Side armbreak, Right yoko tettsui, Left shotei
      Right gedan barai,           Elbow break, Right shotei, kosoto, rear kneelingbar, barflex
      Right gedan barai,           Elbow break, Right and Left shotei, reVerse hadake,tettsui smash
      Left gedan barai,        Up elbow break, mae geri, tettsui
      Left gedan barai,        Right arm sakotsu,Left gohon, Left mai geri, Left sakotsu high
      Left gedan barai,        Right arm Chop, Left gohon, Right Cross shuto, hittsui
      Soto ude uke double,     Elbow break Right under, Right mawashi geri, osoto, fumi komi ribs
      Soto ude uke,            Elbow break,Right kage face, Left kidney shuto,kosoto
      Soto ude uke,            Left armbreak,Right shotei,Left kage ribs, osoto
      Gedan juji upthrust,   Right mai geri, Right tettsui, Cross twist otoshi mat
      Gedan juji upthrust,   Right mai geri, Right Collarbone sakotsu, reverse armbar
  Cross slash tensho grab, double soto ude uke, Armbreak submit, kosoto, rear kneelingbar
  Jodan juji down,   Jodan tettsui, elbow break, hiji, bodyslam
  Double inside uke,          Rear Right hiji,ippon seoi,fumi komi axilla
  Draws pocket knife,      Left gedan barai,up armbreak,Left face shotei
  Straight thrust,         Right yoko geri,wrist twist,fumi komi ribs, yubi tori
  Left gedan shuto,        Right sakotsu arm, Crosstwist, mai geri, sakotsu, flex Comealong
  Straight thrust,         Right yoko haitto face, hadake jime
  Straight thrust,         Right sakotsu arm, Nelson strangle
  Straight thrust,         Right yoko haitto face, hittsui, inside armtwist
  Straight thrust,         Right yoko haitto face, ude tori, otoshi, fumi komi ribs, yubi tori
