double wrist, judolock
front headlock, yubi tori
rear hug (free), flex comealong
straight right, parry, forearm otoshi
double wrist, shiho nage, moro yubi tori
front choke, cross twist, front flex
front choke, cross twist, yubi tori
front choke, cross twist, flexhammerlock
right blow, block, ulna press, barflex, otoshi, yubi tori
front choke, reverse armbar, barex
right and left, shiho nage, moro yubi tori
double wrist, ulna press, kosoto gari, rear kneeling bar, barflex, otoshi, yubi tori
front choke, ude tori, reverse hadake
knife, parry, hadake jime
knife, parry, wrist twist, front flex
knife, parry, nelson strangle
knife, parry, twist (to mat), yubi tori
knife, parry, mawashi geri, rear strangle
knife, parry, mawashi geri, inside armtwist
knife, parry, ude tori, otoshi, yubi tori
club blow, juji uke, ulna press, barflex, otoshi, yubi tori
club blow, age uke, ippon seoi, club yawara
club blow, age uke, shoulder crank, club choke
club blow, age uke, bodyslam, ashi hishigi
club blow, juji uke, (neck) chopura tsukis, (arm) chop, lapel guruma
knife, left gedan, cross twist (to mat), front flex
knife (up thrust), cross twist, (sutemi) roll (to mat), reverse twist, front flex
knife (up thrust), reverse armbar (to mat), barflex, otoshi
knife (cross slash), choke and armbar
knife, parry, reverse ulna, arm guruma
