nagashi uke
cross shuto uke
soto cross shuto uke
jodan juji uke
gedan juji uke
age uke
soto age uke
ude uke
soto ude uke
gedan ulna uke
gedan barai uke
kakiwake uke
inside double ude uke
mikazuki geri uke
